date,region_code,prediction_q10,prediction_q50,prediction_q90,estimate_label,forecast_method,interval_calibration,conformal_relative_radius,baseline_scale,visitor_estimate_q10,visitor_estimate_q50,visitor_estimate_q90,forecast_provenance
2026-01-01,BDH,0.0,0.04163450036113176,0.16542988286442767,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.5911937694735813,126501.62670305098,0.0,5266.832022651931,20927.14928764528,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-01,HGA,0.32033014501471496,0.9698173082658328,1.6193044715169507,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.669700527837032,18722.655229046217,5997.430864580886,18157.55509782282,30317.679331064755,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-01,SHG,0.0,0.04163450036113176,0.1446795333289451,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,2.4749914631859466,171100.74831359636,0.0,7123.694167452342,24754.776418244408,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-02,BDH,0.0,0.04163450036113176,0.17374605029964899,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.5911937694735813,126501.62670305098,0.0,5266.832022651931,21979.157996135713,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-02,HGA,0.3154663473935885,0.9550918907855206,1.5947174341774526,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.669700527837032,18722.655229046217,5906.367658616679,17881.856183235166,29857.34470785365,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-02,SHG,0.0,0.04163450036113176,0.1446795333289451,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,2.4749914631859466,171100.74831359636,0.0,7123.694167452342,24754.776418244408,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-03,BDH,0.0,0.1747924432856576,0.3926802036289637,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.5911937694735813,126501.62670305098,0.0,22111.528411036466,49674.684533149215,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-03,HGA,0.41121137862825063,1.2449652914533305,2.07871920427841,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.669700527837032,18722.655229046217,7698.968868317521,23309.055924009746,38919.14297970197,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-03,SHG,0.0,0.04163450036113176,0.2141039971503195,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,2.4749914631859466,171100.74831359636,0.0,7123.694167452342,36633.35412935177,pressure_forecast_scaled_by_latest_available_region_anchor
2026-01-04,BDH,0.009996920007048915,0.19732019409833707,0.41938615732182066,anchor_constrained_daily_visitor_forecast,dynamic_ridge,regional_relative_split_conformal_pre_2024,0.5911937694735813,126501.62670305098,1264.6266429119635,24961.3255348014,53053.03111795197,pressure_forecast_scaled_by_latest_available_region_anchor
