year,month,city_daily_visitor_estimate,annual_city_total,monthly_share
2023,1,4568417.324266873,80255200.0,0.05692363017308378
2023,2,3585258.2318548188,80255200.0,0.044673220325347374
2023,3,2496221.0839772937,80255200.0,0.03110354324675901
2023,4,6160737.118883638,80255200.0,0.07676433575498706
2023,5,6049344.260106985,80255200.0,0.07537635268626812
2023,6,7586293.130658492,80255200.0,0.09452712261209856
2023,7,19703478.513292782,80255200.0,0.24551030354784215
2023,8,14370732.375865549,80255200.0,0.17906294390725522
2023,9,5786109.394130195,80255200.0,0.07209637997450875
2023,10,6095990.19535969,80255200.0,0.07595757278481258
2023,11,1908465.2320633184,80255200.0,0.02377995733688681
2023,12,1944153.1395403647,80255200.0,0.02422463765015058
2024,1,2669749.0699565173,89457200.0,0.029843870252551134
2024,2,5543617.008667362,89457200.0,0.06196948941692074
2024,3,3427944.2116691805,89457200.0,0.03831937744160538
2024,4,6390749.228474715,89457200.0,0.07143918240761744
2024,5,8697714.772422653,89457200.0,0.09722766610650292
2024,6,7425435.766286484,89457200.0,0.08300545698151165
2024,7,16865678.24858944,89457200.0,0.18853349141924228
2024,8,21041181.748511367,89457200.0,0.23520948284220125
2024,9,6043196.749918661,89457200.0,0.06755405657586713
2024,10,6974298.331673748,89457200.0,0.0779624036038882
2024,11,2347183.588863885,89457200.0,0.026238062323254974
2024,12,2030451.2749659868,89457200.0,0.022697460628836885
