year,month,city_daily_visitor_estimate,annual_city_total,monthly_share
2023,1,4586159.491764177,80255200.0,0.05714470204752062
2023,2,3585511.5786672314,80255200.0,0.044676377090421944
2023,3,2489419.084670995,80255200.0,0.031018788622681082
2023,4,6178657.838208688,80255200.0,0.07698763243015641
2023,5,6056996.846018794,80255200.0,0.07547170583362565
2023,6,7629448.632683219,80255200.0,0.0950648510337426
2023,7,19677167.499041323,80255200.0,0.2451824616852406
2023,8,14353971.271546965,80255200.0,0.17885409632705376
2023,9,5766536.063083408,80255200.0,0.0718524913411643
2023,10,6092028.251035575,80255200.0,0.07590820596092931
2023,11,1899337.317323125,80255200.0,0.02366622122084457
2023,12,1939966.1259565013,80255200.0,0.02417246640661915
2024,1,2668648.9036803246,89457200.0,0.029831572010752903
2024,2,5547900.565833381,89457200.0,0.06201737328949913
2024,3,3415366.1628172705,89457200.0,0.0381787733443174
2024,4,6385779.2509890655,89457200.0,0.07138362536485678
2024,5,8692297.998513525,89457200.0,0.09716711453648812
2024,6,7436449.581365319,89457200.0,0.08312857524453392
2024,7,16920707.256901115,89457200.0,0.1891486348432671
2024,8,20994514.637102924,89457200.0,0.2346878131341348
2024,9,6048968.883380379,89457200.0,0.06761858054332551
2024,10,6975297.302186049,89457200.0,0.07797357062579702
2024,11,2339727.99668817,89457200.0,0.026154719761943925
2024,12,2031541.460542484,89457200.0,0.022709647301083467
