date,region_code,baseline_estimate,weather_response_baseline_estimate,rain_shock_estimate,heat_shock_estimate,scenario_label
2026-01-01,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-01,HGA,18130.70973823445,18130.70973823445,14812.248366051801,18248.053175704426,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-01,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-02,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-02,HGA,17853.528396555215,17853.528396555215,14559.988520152978,17969.99059008296,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-02,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-03,BDH,22270.436564518295,22270.436564518295,8890.569726823376,22743.559313749818,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-03,HGA,23338.401358977844,23338.401358977844,19551.714153245957,23472.301634891523,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-03,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-04,BDH,25093.09026213395,25093.09026213395,11459.437394728175,25575.18708753154,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-04,HGA,22999.0524498964,22999.0524498964,19242.87625314704,23131.87383222865,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-04,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-05,BDH,7310.771947861467,7310.771947861467,5386.078058747183,7736.3333650733575,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-05,HGA,18764.722866637607,18764.722866637607,15389.25709650918,18884.082025026302,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-05,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-06,BDH,7288.1544854835665,7288.1544854835665,5386.078058747183,7713.643994891026,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-06,HGA,20334.159758882714,20334.159758882714,16817.58523067282,20458.508635358587,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-06,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-07,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-07,HGA,20110.15143880275,20110.15143880275,16613.71759672212,20233.788124573857,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-07,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-08,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-08,HGA,19354.595153636397,19354.595153636397,15926.093707937733,19475.829695759283,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-08,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-09,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-09,HGA,19098.850789365348,19098.850789365348,15693.343431423224,19219.27224222903,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-09,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-10,BDH,28330.014887958772,28330.014887958772,14405.328710319016,28822.40288303138,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-10,HGA,24814.823439218475,24814.823439218475,20895.39047787435,24953.417710790403,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-10,SHG,11096.275028942273,11096.275028942273,7286.376281773982,11675.81630490178,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-11,BDH,23109.829968195052,23109.829968195052,9654.492902089,23585.62140481966,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-11,HGA,24646.608008721007,24646.608008721007,20742.299370377645,24784.667472184214,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-11,SHG,13741.848064761189,13741.848064761189,7286.376281773982,14329.800423506516,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-12,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-12,HGA,20281.617574546075,20281.617574546075,16769.767137132865,20405.799403408364,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-12,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-13,BDH,5984.622564082751,5984.622564082751,5386.078058747183,6405.967748326469,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-13,HGA,19808.272548758436,19808.272548758436,16338.980769844313,19930.94946955572,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-13,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-14,BDH,5580.6527575791915,5580.6527575791915,5386.078058747183,6000.713598718612,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-14,HGA,18822.3724150092,18822.3724150092,15441.7233487477,18941.914858877954,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-14,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-15,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-15,HGA,18967.531413557066,18967.531413557066,15573.831038185494,19087.53536211209,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-15,SHG,7286.376281773982,7286.376281773982,7286.376281773982,7286.376281773982,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-16,BDH,5386.078058747183,5386.078058747183,5386.078058747183,5386.078058747183,additive_20mm_rainfall_and_plus5c_weather_shocks
2026-01-16,HGA,19389.650925230053,19389.650925230053,15957.997599759983,19510.996920332323,additive_20mm_rainfall_and_plus5c_weather_shocks
