date,region_code,pressure_index,estimate_label,projection_source,calibration_year,baseline_scale,conservative_scale,high_scale,scale_anchor_count,scale_interval_method,scale_source_year,visitor_estimate_baseline,visitor_estimate_conservative,visitor_estimate_high
2023-01-01,BDH,0.5758592809820924,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,67014.80142831586,53611.841142652695,80417.76171397902
2023-01-01,HGA,2.1594159910815383,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,35626.87234864087,28501.497878912698,42752.246818369036
2023-01-01,SHG,0.2700788005880679,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,46210.68488425698,36968.54790740559,55452.82186110837
2023-01-02,BDH,0.2090837242027409,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,24331.81980751156,19465.455846009252,29198.18376901387
2023-01-02,HGA,1.4240733286933436,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,23494.907375883235,18795.92590070659,28193.88885105988
2023-01-02,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-03,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-03,HGA,0.7378001034408559,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,12172.508776753277,9738.007021402622,14607.010532103932
2023-01-03,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-04,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-04,HGA,0.807319456565837,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,13319.46569926051,10655.57255940841,15983.358839112612
2023-01-04,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-05,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-05,HGA,0.8519225331579763,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,14055.344345462865,11244.275476370294,16866.413214555436
2023-01-05,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-06,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-06,HGA,0.8911507572339328,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,14702.546615609068,11762.037292487255,17643.05593873088
2023-01-06,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-07,BDH,0.1285422931798242,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,14958.925795022758,11967.140636018208,17950.71095402731
2023-01-07,HGA,1.2625970546444267,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,20830.809940912593,16664.647952730076,24996.97192909511
2023-01-07,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-08,BDH,0.1120396375133692,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,13038.452809606473,10430.76224768518,15646.143371527767
2023-01-08,HGA,1.2295111345771113,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,20284.945755575514,16227.956604460414,24341.934906690618
2023-01-08,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-09,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-09,HGA,0.8304143635934182,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,13700.494323654122,10960.3954589233,16440.593188384944
2023-01-09,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-10,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-10,HGA,0.8650325286479998,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,14271.638073833561,11417.31045906685,17125.96568860027
2023-01-10,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-11,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-11,HGA,0.8721912962074998,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,14389.746163738071,11511.796930990458,17267.695396485684
2023-01-11,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-12,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-12,HGA,0.8328529070992352,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,13740.726348681794,10992.581078945437,16488.871618418154
2023-01-12,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-13,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-13,HGA,0.8852728563694965,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,14605.570755172675,11684.45660413814,17526.684906207207
2023-01-13,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-14,BDH,0.1160626279101587,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,13506.622571721071,10805.298057376858,16207.947086065284
2023-01-14,HGA,1.237576766036072,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,20418.0156335362,16334.412506828963,24501.61876024344
2023-01-14,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-15,BDH,0.1137264197521981,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,13234.749683723267,10587.799746978615,15881.699620467918
2023-01-15,HGA,1.2328929382972422,anchor_constrained_estimate,joint_covariate_region_mean,2023,16498.383125706703,13198.706500565364,19798.059750848042,1.0,single_anchor_scenario,2023.0,20340.740049006177,16272.592039204943,24408.88805880741
2023-01-15,SHG,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,171100.74831359636,136880.5986508771,205320.8979763156,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-16,BDH,0.0,anchor_constrained_estimate,joint_covariate_region_mean,2023,116373.57188031469,93098.85750425176,139648.2862563776,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
