date,year,three_region_daily_shape,official_annual_tourists_thousand,annual_scale_factor,city_daily_visitor_estimate,estimate_label,series_scope
2023-01-01,2023,150818.3303288353,80255.2,3.33533448861037,503029.5786603957,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-02,2023,48278.02774720609,80255.2,3.33533448861037,161023.37098734488,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-03,2023,12178.22294221547,80255.2,3.33533448861037,40618.44698915731,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-04,2023,13323.875312032536,80255.2,3.33533448861037,44439.58085016637,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-05,2023,14043.541756366563,80255.2,3.33533448861037,46839.90916224925,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-06,2023,14680.568219351857,80255.2,3.33533448861037,48964.60549440158,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-07,2023,36007.823339954775,80255.2,3.33533448861037,120098.1350455406,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-08,2023,33413.772378664566,80255.2,3.33533448861037,111446.10740913649,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-09,2023,13662.219585075552,80255.2,3.33533448861037,45568.07217307055,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-10,2023,14255.79581118208,80255.2,3.33533448861037,47547.84743162284,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-11,2023,14364.57626034246,80255.2,3.33533448861037,47910.66661539397,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-12,2023,13727.750390269355,80255.2,3.33533448861037,45786.63932769985,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-13,2023,14578.409558915597,80255.2,3.33533448861037,48623.87219093828,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-14,2023,34117.711879041686,80255.2,3.33533448861037,113793.98110263945,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
2023-01-15,2023,33670.37408804825,80255.2,3.33533448861037,112301.95994028027,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape
