region_code,month,monthly_median_pressure,q25,q75,season_label,classification_basis
BDH,1,0.0,0.0090290932381707,0.16719616639855775,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,2,0.0120387909842276,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,3,0.0124476305993426,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,4,0.13667973980890635,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,5,0.1221865490435051,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,6,0.25874544616751194,0.0090290932381707,0.16719616639855775,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,7,0.6391859449002524,0.0090290932381707,0.16719616639855775,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,8,0.6064683307862206,0.0090290932381707,0.16719616639855775,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,9,0.1359015015448032,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,10,0.0467008477774549,0.0090290932381707,0.16719616639855775,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,11,0.0,0.0090290932381707,0.16719616639855775,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
BDH,12,0.0,0.0090290932381707,0.16719616639855775,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,1,0.9321096901219073,1.0022458845336613,1.3361765452323986,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,2,1.025624616004246,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,3,1.026442920199453,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,4,1.2750970436923754,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,5,1.2460885074184929,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,6,1.5194150498524681,1.0022458845336613,1.3361765452323986,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,7,2.2808776005206286,1.0022458845336613,1.3361765452323986,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,8,2.215392359127996,1.0022458845336613,1.3361765452323986,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,9,1.273539377524905,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,10,1.0950017150909472,1.0022458845336613,1.3361765452323986,shoulder_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,11,0.9195595948566364,1.0022458845336613,1.3361765452323986,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
HGA,12,0.8848727322495005,1.0022458845336613,1.3361765452323986,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,1,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,2,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,3,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,4,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,5,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,6,0.014573657165999801,0.0,0.0036434142914999502,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,7,0.321216202971061,0.0,0.0036434142914999502,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,8,0.2948451606713761,0.0,0.0036434142914999502,peak_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,9,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,10,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,11,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
SHG,12,0.0,0.0,0.0036434142914999502,off_season,region_specific_2023_2025_monthly_median_pressure_quantiles
