date,attraction_name,region_code,visitor_index,daily_rank,is_observed,observation_type,threshold_group
2021-12-22,北戴河碧螺塔海上酒吧公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,北戴河集发农业专业合作社,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,奥林匹克公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,平水桥公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,戴河生态园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,秦皇岛野生动物园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,老虎石海上公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,鸽子窝公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-22,新澳海底世界,HGA,,,False,left_censored,HGA_2021-12
2021-12-22,河北秦皇岛国家地质公园,HGA,,,False,left_censored,HGA_2021-12
2021-12-22,秦皇植物园,HGA,,,False,left_censored,HGA_2021-12
2021-12-22,孟姜女庙景区,SHG,0.1,7.0,True,density,SHG_2021-12
2021-12-22,山海关欢乐海洋公园,SHG,,,False,left_censored,SHG_2021-12
2021-12-22,山海关风景区,SHG,,,False,left_censored,SHG_2021-12
2021-12-22,山海关风景区-天下第一关景区,SHG,,,False,left_censored,SHG_2021-12
2021-12-22,老龙头景区,SHG,,,False,left_censored,SHG_2021-12
2021-12-22,角山景区,SHG,,,False,left_censored,SHG_2021-12
2021-12-22,黄金海岸风景区,其他_昌黎,,,False,left_censored,其他_昌黎_2021-12
2021-12-26,北戴河碧螺塔海上酒吧公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,北戴河集发农业专业合作社,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,奥林匹克公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,平水桥公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,戴河生态园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,秦皇岛野生动物园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,老虎石海上公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,鸽子窝公园,BDH,,,False,left_censored,BDH_2021-12
2021-12-26,新澳海底世界,HGA,,,False,left_censored,HGA_2021-12
2021-12-26,河北秦皇岛国家地质公园,HGA,,,False,left_censored,HGA_2021-12
2021-12-26,秦皇植物园,HGA,,,False,left_censored,HGA_2021-12
2021-12-26,孟姜女庙景区,SHG,0.11,59.0,True,density,SHG_2021-12
