date,region_code,pressure_index,estimate_label,projection_source
2023-01-01,BDH,0.5826897254781558,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-01,HGA,2.1677987997947388,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-01,SHG,0.27567913578273506,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-02,BDH,0.21221859302728832,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-02,HGA,1.4262902211743151,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-02,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-03,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-03,HGA,0.7359300084865088,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-03,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-04,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-04,HGA,0.8051617808265774,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-04,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-05,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-05,HGA,0.8486512238265302,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-05,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-06,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-06,HGA,0.8871467327801223,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-06,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-07,BDH,0.13008664310457685,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-07,HGA,1.2619007718706223,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-07,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-08,BDH,0.11272308039785124,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-08,HGA,1.227147103974087,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-08,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-09,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-09,HGA,0.8256079251378927,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-09,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-10,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-10,HGA,0.861477736290857,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-10,SHG,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-11,BDH,0.0,censored_likelihood_pressure_index,joint_covariate_region_mean
2023-01-11,HGA,0.8680513387986792,censored_likelihood_pressure_index,joint_covariate_region_mean
