date,region_code,observed_visitor_index,is_summer,is_holiday,is_weekend,regime,日均气温_℃,日降水量_mm,theme_attraction_lag_1,theme_coastal_resort_lag_1,theme_destination_lag_1,pressure_index,uncertainty_proxy,estimate_label,calibration_year,baseline_scale,conservative_scale,high_scale,scale_anchor_count,scale_interval_method,scale_source_year,visitor_estimate_baseline,visitor_estimate_conservative,visitor_estimate_high
2023-01-01,BDH,,0,1,1,high_pressure,-3.66,0.0,-0.5240316929332003,0.5235369672000489,-0.4884142857796322,1.3232952221308931,0.4456113029154757,anchor_constrained_estimate,2023,25123.5549971729,20098.843997738324,30148.26599660748,1.0,single_anchor_scenario,2023.0,33245.88029070162,26596.704232561304,39895.05634884194
2023-01-01,HGA,,0,1,1,high_pressure,-3.66,0.0,-0.5240316929332003,0.5235369672000489,-0.4884142857796322,1.9553707348819285,0.4456113029154757,anchor_constrained_estimate,2023,14456.533357337858,11565.226685870286,17347.84002880543,1.0,single_anchor_scenario,2023.0,28267.88225478284,22614.30580382627,33921.45870573941
2023-01-01,SHG,,0,1,1,high_pressure,-3.66,0.0,-0.5240316929332003,0.5235369672000489,-0.4884142857796322,0.5672652925392443,0.4456113029154757,anchor_constrained_estimate,2023,65233.932464418525,52187.145971534825,78280.71895730223,1.0,single_anchor_scenario,2023.0,37004.94578291368,29603.956626330946,44405.934939496416
2023-01-02,BDH,,0,1,0,high_pressure,-4.25,0.1,-0.9719698461128,0.4206535730714592,-0.8074981361306696,0.9071578853997688,0.4456113029154757,anchor_constrained_estimate,2023,25123.5549971729,20098.843997738324,30148.26599660748,1.0,single_anchor_scenario,2023.0,22791.031024960164,18232.824819968133,27349.237229952196
2023-01-02,HGA,,0,1,0,high_pressure,-4.25,0.1,-0.9719698461128,0.4206535730714592,-0.8074981361306696,1.426019107524438,0.4456113029154757,anchor_constrained_estimate,2023,14456.533357337858,11565.226685870286,17347.84002880543,1.0,single_anchor_scenario,2023.0,20615.292796128197,16492.234236902557,24738.351355353836
2023-01-02,SHG,,0,1,0,high_pressure,-4.25,0.1,-0.9719698461128,0.4206535730714592,-0.8074981361306696,0.286544358507356,0.4456113029154757,anchor_constrained_estimate,2023,65233.932464418525,52187.145971534825,78280.71895730223,1.0,single_anchor_scenario,2023.0,18692.41533092899,14953.932264743195,22430.89839711479
2023-01-03,BDH,,0,0,0,normal,-5.47,0.0,-0.8340627653045325,-0.0106788275599011,-0.8610633153848404,0.4705871141518474,0.4456113029154757,anchor_constrained_estimate,2023,25123.5549971729,20098.843997738324,30148.26599660748,1.0,single_anchor_scenario,2023.0,11822.82124335482,9458.256994683858,14187.385492025784
2023-01-03,HGA,,0,0,0,normal,-5.47,0.0,-0.8340627653045325,-0.0106788275599011,-0.8610633153848404,0.8706749270859482,0.4456113029154757,anchor_constrained_estimate,2023,14456.533357337858,11565.226685870286,17347.84002880543,1.0,single_anchor_scenario,2023.0,12586.941126815716,10069.552901452573,15104.32935217886
2023-01-03,SHG,,0,0,0,normal,-5.47,0.0,-0.8340627653045325,-0.0106788275599011,-0.8610633153848404,0.0,0.4456113029154757,anchor_constrained_estimate,2023,65233.932464418525,52187.145971534825,78280.71895730223,1.0,single_anchor_scenario,2023.0,0.0,0.0,0.0
2023-01-04,BDH,,0,0,0,normal,-3.77,0.0,-0.9231932583953956,0.1032911156963526,-0.6772920714230928,0.5155475561279725,0.4456113029154757,anchor_constrained_estimate,2023,25123.5549971729,20098.843997738324,30148.26599660748,1.0,single_anchor_scenario,2023.0,12952.387380039201,10361.909904031363,15542.864856047041
